Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s)
Linear SVM,0.9929797191887676,0.9929958612867469,0.9929797191887676,0.9929736416450079,,0.7123360633850098
RBF SVM,0.99197682193002,0.992039618323828,0.99197682193002,0.9919644458242992,0.9987365206952346,205.06627774238586
XGBoost,0.9896367283262759,0.9896578910793601,0.9896367283262759,0.9896255326384414,0.9989576700245316,55.98207092285156
Logistic Regression,0.9896367283262759,0.9897049849692129,0.9896367283262759,0.9896193170741397,0.9987638185709066,5.00769305229187
Extra Trees,0.9890795631825273,0.9891599289180715,0.9890795631825273,0.9890597057918776,0.9982777545800927,26.916990280151367
Random Forest,0.9848451080900379,0.9849521912282704,0.9848451080900379,0.9848116243674029,0.9974495798319328,22.807571411132812
K-Nearest Neighbors,0.9696902161800758,0.9696677814061152,0.9696902161800758,0.9696566547436605,0.9897236807766584,0.00783848762512207
Gradient Boosting,0.9614441720525964,0.962173986541286,0.9614441720525964,0.9612008779017019,0.9920971867007672,192.62505435943604
Naive Bayes,0.9579897481613551,0.9583128456299443,0.9579897481613551,0.9577893968129498,0.9912845660003131,0.02515554428100586
Decision Tree,0.9214397147314464,0.9214691013869127,0.9214397147314464,0.9214538243838928,0.9176255023748631,82.23714971542358
AdaBoost,0.9157566302652106,0.9160496105368201,0.9157566302652106,0.9151313591962765,0.9691543138994728,38.33938956260681
